TimesheetID,EmployeeID,ProjectID,Date,WorkingHours,OvertimeHours,AttendanceStatus
1,514,72,2025-11-30,6.5,0.0,WFH
2,15,34,2025-10-05,7.7,0.0,Present
3,184,91,2024-08-01,9.5,1.5,WFH
4,928,19,2024-07-08,8.9,0.9,Present
5,213,47,2025-04-20,6.4,0.0,Present
6,778,31,2024-12-21,7.8,0.0,Present
7,662,73,2024-08-31,9.9,1.9,Present
8,915,59,2024-09-03,7.8,0.0,Present
9,303,15,2024-06-21,7.6,0.0,WFH
10,951,39,2024-10-10,8.8,0.8,Present
11,647,39,2026-01-01,8.0,0.0,Present
12,912,5,2024-09-15,6.5,0.0,Present
13,520,41,2026-05-03,8.7,0.7,Present
14,11,84,2025-01-28,9.6,1.6,Present
15,886,74,2025-05-03,8.4,0.4,Present
16,95,49,2025-08-24,9.7,1.7,Present
17,777,52,2025-11-10,6.6,0.0,Present
18,430,76,2026-04-27,9.5,1.5,Present
19,581,8,2025-12-26,8.6,0.6,Present
20,203,6,2024-06-17,7.9,0.0,Present
21,649,13,2025-03-04,9.3,1.3,Present
22,919,1,2024-06-25,9.0,1.0,Present
23,61,90,2024-09-04,8.5,0.5,Present
24,371,20,2024-12-30,8.2,0.2,Present
25,509,24,2025-02-04,7.9,0.0,Present
26,240,45,2026-04-14,7.0,0.0,Present
27,694,39,2024-12-07,6.6,0.0,Present
28,32,14,2024-11-15,7.4,0.0,Present
29,513,18,2025-02-07,6.8,0.0,Present
30,92,57,2026-05-24,9.9,1.9,Present
31,843,15,2025-05-20,9.3,1.3,Present
32,205,14,2025-06-28,8.1,0.1,Present
33,568,9,2024-09-25,9.6,1.6,Present
34,943,7,2025-05-09,6.3,0.0,WFH
35,349,74,2024-11-04,6.8,0.0,Present
36,447,44,2025-03-17,9.6,1.6,Present
37,21,77,2026-03-26,6.5,0.0,WFH
38,748,97,2024-12-09,9.2,1.2,Present
39,828,27,2024-08-26,9.7,1.7,Present
40,217,86,2026-04-16,9.6,1.6,Present
41,207,50,2025-08-05,9.4,1.4,Present
42,859,4,2025-04-19,8.7,0.7,Present
43,306,54,2026-04-23,8.8,0.8,Present
44,118,86,2025-09-01,6.2,0.0,Present
45,261,91,2026-02-13,7.9,0.0,Present
46,560,57,2024-11-20,8.2,0.2,Present
47,493,77,2024-10-04,8.3,0.3,Present
48,698,42,2025-06-30,6.3,0.0,Present
49,872,62,2025-08-22,9.6,1.6,Present
50,182,96,2025-12-06,6.3,0.0,WFH
51,23,78,2024-10-08,9.1,1.1,Present
52,249,86,2024-10-22,8.9,0.9,Present
53,841,69,2025-10-17,9.3,1.3,Present
54,83,26,2026-04-07,6.9,0.0,Present
55,913,47,2024-12-28,6.8,0.0,Present
56,510,58,2026-02-22,8.8,0.8,Present
57,866,17,2025-05-02,8.9,0.9,Present
58,212,34,2025-01-12,0.0,0.0,Leave
59,429,46,2024-06-22,0.0,0.0,Leave
60,146,62,2026-04-18,7.8,0.0,Present
61,75,21,2025-10-21,6.8,0.0,Present
62,589,43,2025-07-19,7.2,0.0,Present
63,130,15,2024-10-21,9.0,1.0,Present
64,460,15,2025-01-17,0.0,0.0,Leave
65,68,83,2024-12-12,7.0,0.0,WFH
66,131,80,2026-06-01,7.1,0.0,Present
67,607,57,2025-02-09,6.1,0.0,Present
68,199,19,2025-08-19,9.2,1.2,WFH
69,66,87,2024-10-12,9.6,1.6,WFH
70,851,5,2026-01-03,7.2,0.0,WFH
71,755,91,2025-09-26,6.7,0.0,Present
72,246,63,2024-08-11,8.7,0.7,Present
73,105,31,2025-08-24,9.3,1.3,WFH
74,344,58,2025-05-29,6.8,0.0,Present
75,717,82,2024-07-10,0.0,0.0,Leave
76,738,49,2025-03-29,9.3,1.3,WFH
77,445,85,2025-12-04,8.1,0.1,Present
78,702,42,2024-06-30,9.9,1.9,WFH
79,156,40,2025-07-29,7.6,0.0,Present
80,547,95,2025-01-07,7.2,0.0,Present
